Country,Year,Matches Played,Ace,Double Fault,Break Percent,Return Percent,Total,Winner,Error,Net Percent,TLoser
RSA,2014,1,16.0,1.0,0.0,24.0,66.0,31.0,30.0,32.0,0
RUS,2004,6,3.8333333333333335,5.666666666666667,42.166666666666664,31.166666666666668,106.16666666666667,30.0,47.333333333333336,60.5,1
RUS,2005,3,5.666666666666667,4.0,21.0,31.0,95.33333333333333,33.666666666666664,39.666666666666664,58.0,0
RUS,2006,5,5.0,5.8,54.4,35.2,127.2,36.4,61.0,65.4,0
RUS,2007,7,8.0,4.285714285714286,37.42857142857143,32.857142857142854,112.71428571428571,39.142857142857146,38.285714285714285,57.42857142857143,0
RUS,2008,5,4.6,2.2,49.0,31.2,105.0,32.2,46.2,64.8,0
RUS,2009,6,8.333333333333334,4.833333333333333,32.833333333333336,32.833333333333336,111.0,27.0,31.0,50.0,0
RUS,2010,4,2.0,6.25,22.5,35.0,104.5,23.666666666666668,42.0,67.33333333333333,0
RUS,2011,6,7.5,3.5,39.333333333333336,29.666666666666668,113.0,36.5,43.5,62.0,0
RUS,2013,5,5.4,3.2,18.8,29.6,110.6,14.4,23.2,57.333333333333336,0
RUS,2014,5,5.6,5.4,37.2,32.2,91.2,31.2,42.4,61.8,0
SLO,2013,3,6.333333333333333,4.666666666666667,32.666666666666664,31.0,89.0,8.666666666666666,11.0,50.0,0
SLO,2014,3,11.333333333333334,7.333333333333333,68.33333333333333,30.666666666666668,89.66666666666667,18.0,27.0,45.5,0
SRB,2005,2,7.0,4.5,72.0,28.5,75.5,17.0,37.5,45.0,0
SRB,2006,3,8.666666666666666,6.0,55.666666666666664,36.333333333333336,112.66666666666667,45.0,58.333333333333336,64.0,0
SRB,2007,3,13.0,7.666666666666667,29.333333333333332,26.333333333333332,92.66666666666667,36.333333333333336,39.333333333333336,53.0,0
SRB,2008,3,9.666666666666666,4.333333333333333,66.66666666666667,29.0,120.33333333333333,46.0,44.0,60.0,0
SRB,2009,3,5.333333333333333,3.6666666666666665,44.333333333333336,26.666666666666668,82.33333333333333,37.5,40.5,59.0,0
SRB,2010,3,14.0,7.666666666666667,35.333333333333336,36.333333333333336,136.33333333333334,40.0,38.0,65.5,0
SRB,2011,2,9.5,3.5,62.5,35.5,84.5,29.0,32.5,48.5,0
SRB,2012,2,6.0,1.5,72.5,31.5,97.0,28.0,48.5,63.0,0
SRB,2013,2,9.0,2.0,16.5,31.5,98.0,12.0,13.0,40.0,0
SRB,2014,2,7.0,2.0,38.5,32.5,114.5,31.0,54.5,65.5,0
SUI,2004,0,0,0,0,0,0,0,0,0,0
SUI,2005,1,22.0,8.0,29.0,35.0,201.0,72.0,59.0,76.0,0
SUI,2006,2,6.0,3.0,20.5,33.0,92.5,32.5,39.0,64.0,0
SUI,2007,2,5.5,2.0,83.5,32.0,96.5,29.5,46.0,59.5,0
SUI,2008,2,9.5,2.5,30.0,35.5,105.0,38.0,32.0,71.0,0
SUI,2009,2,10.0,4.0,23.0,38.0,146.5,55.0,56.5,67.0,1
SUI,2010,2,7.0,4.5,23.5,34.5,108.5,24.5,45.5,54.0,0
SUI,2011,2,3.0,0.0,15.0,32.0,88.5,28.0,37.0,56.5,0
SUI,2012,2,7.5,3.5,65.0,32.5,110.0,38.0,56.0,55.5,0
SUI,2013,2,10.5,2.0,36.0,31.5,175.5,56.0,76.5,67.5,0
SUI,2014,1,8.0,1.0,50.0,27.0,86.0,34.0,50.0,55.0,0
