Country,Year,Matches Played,Ace,Double Fault,Break Percent,Return Percent,Total,Winner,Error,Net Percent,TWinner
ESP,2004,14,6.357142857142857,3.857142857142857,43.5,43.142857142857146,120.57142857142857,33.642857142857146,27.0,68.15384615384616,0
ESP,2005,12,6.75,3.5,52.0,44.25,114.66666666666667,35.583333333333336,32.75,76.58333333333333,0
ESP,2006,12,8.0,3.1666666666666665,44.666666666666664,44.0,122.83333333333333,37.083333333333336,29.0,66.08333333333333,0
ESP,2007,15,7.333333333333333,1.8666666666666667,41.13333333333333,45.2,109.86666666666666,36.0,28.857142857142854,66.92857142857143,0
ESP,2008,18,6.833333333333333,2.8333333333333335,54.94444444444444,46.333333333333336,104.66666666666667,34.38461538461538,22.30769230769231,74.3076923076923,0
ESP,2009,21,7.9523809523809526,2.7142857142857144,55.95238095238095,47.57142857142857,113.80952380952381,39.1875,25.75,76.0,1
ESP,2010,16,8.125,2.8125,49.75,43.375,113.25,35.15384615384615,26.5,69.23076923076924,0
ESP,2011,23,7.6521739130434785,3.217391304347826,47.608695652173914,44.0,114.78260869565217,34.33333333333334,28.5,76.22222222222221,0
ESP,2012,19,7.631578947368421,3.210526315789474,48.8421052631579,44.63157894736842,123.94736842105263,31.736842105263158,20.894736842105264,67.2,0
ESP,2013,15,10.266666666666667,3.1333333333333333,47.266666666666666,43.4,115.86666666666666,27.533333333333335,23.266666666666666,74.0,0
ESP,2014,21,7.190476190476191,2.4761904761904763,51.23809523809524,43.57142857142857,116.42857142857143,33.857142857142854,26.047619047619047,74.0,0
FIN,2004,1,4.0,5.0,57.0,47.0,138.0,27.0,45.0,68.0,0
FIN,2005,2,4.0,1.5,75.0,42.5,100.5,26.0,25.0,72.5,0
FIN,2006,2,3.0,2.0,77.5,50.0,96.0,26.5,23.0,79.0,0
FIN,2007,1,9.0,10.0,53.0,44.0,144.0,60.0,52.0,62.0,0
FIN,2008,4,4.75,4.25,41.5,41.75,136.25,36.666666666666664,33.666666666666664,68.33333333333333,0
FIN,2010,1,1.0,0.0,38.0,41.0,110.0,34.0,21.0,70.0,0
FIN,2013,1,19.0,4.0,50.0,35.0,182.0,66.0,69.0,64.0,0
FIN,2014,1,2.0,6.0,59.0,43.0,173.0,57.0,72.0,69.0,0
FRA,2004,12,9.666666666666666,2.9166666666666665,43.916666666666664,42.5,117.83333333333333,39.666666666666664,33.0,68.75,0
FRA,2005,3,16.0,7.333333333333333,46.0,42.0,130.0,50.333333333333336,36.666666666666664,67.66666666666667,0
FRA,2006,16,7.9375,2.6875,53.1875,47.4375,115.0,37.875,26.375,70.625,0
FRA,2007,13,10.846153846153847,2.6923076923076925,46.84615384615385,44.23076923076923,118.61538461538461,41.07692307692308,32.38461538461539,65.53846153846153,0
FRA,2008,21,9.523809523809524,3.238095238095238,46.76190476190476,42.42857142857143,125.76190476190476,49.0,33.666666666666664,69.16666666666667,0
FRA,2009,19,9.68421052631579,3.0,49.526315789473685,43.26315789473684,116.05263157894737,43.86666666666667,33.86666666666667,66.93333333333335,0
FRA,2010,13,11.923076923076923,3.6153846153846154,47.92307692307692,38.23076923076923,131.46153846153845,49.55555555555555,30.23076923076923,62.8888888888889,0
FRA,2011,11,9.272727272727273,3.5454545454545454,46.36363636363637,41.54545454545455,120.54545454545455,49.25,37.25,63.25,0
FRA,2012,17,8.411764705882353,3.1176470588235294,47.1764705882353,45.11764705882353,111.82352941176471,31.058823529411764,25.294117647058822,66.75,0
FRA,2013,20,12.5,5.8,47.95,41.1,128.45,40.6,34.7,70.0625,0
FRA,2014,20,13.55,5.05,46.1,42.1,130.5,38.5,30.55,75.25,0
GBR,2004,2,2.5,3.5,54.0,44.5,102.5,30.5,21.0,71.5,0
GBR,2005,3,9.333333333333334,5.0,45.666666666666664,43.333333333333336,118.33333333333333,40.666666666666664,30.333333333333332,65.0,0
GBR,2007,3,5.333333333333333,1.6666666666666667,44.666666666666664,54.0,98.66666666666667,30.333333333333332,22.333333333333332,78.0,0
GBR,2009,3,4.666666666666667,1.3333333333333333,54.333333333333336,51.333333333333336,80.66666666666667,27.333333333333332,17.333333333333332,80.33333333333333,0
GBR,2010,6,9.333333333333334,1.5,47.0,46.0,102.66666666666667,39.0,23.5,81.83333333333333,0
GBR,2011,6,9.833333333333334,2.5,58.0,48.166666666666664,108.33333333333333,33.166666666666664,26.166666666666668,71.66666666666667,0
GBR,2012,5,6.2,2.4,43.0,50.6,96.0,36.2,22.4,75.4,0
GBR,2013,6,11.833333333333334,0.3333333333333333,55.833333333333336,48.0,107.16666666666667,33.833333333333336,27.0,74.33333333333333,0
GBR,2014,4,7.75,3.0,46.75,48.75,108.25,33.5,30.25,77.0,0
GER,2004,1,6.0,0.0,57.0,36.0,96.0,36.0,13.0,79.0,0
GER,2005,6,5.0,1.6666666666666667,49.166666666666664,52.166666666666664,99.83333333333333,32.166666666666664,26.5,72.66666666666667,0
GER,2006,14,8.428571428571429,3.857142857142857,60.642857142857146,44.785714285714285,124.14285714285714,40.0,39.642857142857146,70.42857142857143,0
GER,2007,9,12.555555555555555,3.111111111111111,44.333333333333336,42.22222222222222,126.22222222222223,44.44444444444444,31.11111111111111,69.0,0
GER,2008,6,5.666666666666667,3.8333333333333335,33.666666666666664,34.5,102.33333333333333,27.666666666666668,35.666666666666664,73.0,0
GER,2009,6,6.5,3.0,46.666666666666664,49.5,98.33333333333333,36.0,28.75,70.5,0
GER,2010,9,9.444444444444445,4.222222222222222,51.55555555555556,41.22222222222222,119.88888888888889,52.33333333333333,20.77777777777778,71.33333333333333,0
GER,2012,7,6.714285714285714,2.4285714285714284,51.714285714285715,50.142857142857146,110.42857142857143,19.142857142857142,16.428571428571427,82.66666666666667,0
GER,2013,6,10.5,2.1666666666666665,47.333333333333336,38.5,114.5,17.666666666666668,7.333333333333333,71.5,0
GER,2014,4,12.75,2.5,42.0,40.25,107.5,30.0,19.25,80.0,0
ITA,2004,1,4.0,3.0,38.0,39.0,135.0,42.0,37.0,74.0,0
ITA,2006,3,8.0,2.0,50.666666666666664,46.666666666666664,103.66666666666667,36.666666666666664,35.0,68.33333333333333,0
ITA,2007,1,23.0,10.0,50.0,40.0,184.0,76.0,70.0,75.0,0
ITA,2013,3,10.333333333333334,4.0,41.333333333333336,38.0,142.66666666666666,20.333333333333332,24.333333333333332,59.0,0
ITA,2014,4,9.5,6.0,35.5,42.25,126.25,45.5,44.0,71.5,0
JPN,2005,1,10.0,1.0,67.0,37.0,93.0,34.0,13.0,70.0,0
JPN,2011,2,4.0,4.0,47.5,42.0,131.5,39.5,43.0,68.5,0
JPN,2012,5,5.0,3.0,48.4,43.2,127.2,40.8,34.0,59.2,0
